Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-07-22,32.1,32.24,31.72,32.16,13305449.0,0.0,1.0,31.06398760174238,31.19946916760668,30.696251922967857,31.122051129969933,13305449.0
2016-07-25,32.19,32.36,31.96,32.06,11323530.0,0.0,1.0,31.15108289408371,31.31559622406179,30.928506035878083,31.02527858292401,11323530.0
2016-07-26,31.98,32.22,31.89,32.15,9457786.0,0.0,1.0,30.94786054528727,31.18011465819749,30.860765252945935,31.11237387526534,9457786.0
2016-07-27,32.18,32.29,31.97,32.02,9145890.0,0.0,1.0,31.14140563937912,31.247855441129637,30.938183290582675,30.98656956410564,9145890.0
2016-07-28,31.05,31.2,30.65,30.99,20363869.0,0.0,1.0,30.047875857760154,30.19303467832904,29.660785669576445,29.989812329532594,20363869.0
2016-07-29,30.79,31.55,30.78,31.54,16150459.0,0.0,1.0,29.79626723544074,30.531738592989786,29.786589980736153,30.52206133828519,16150459.0
2016-08-01,31.54,31.62,31.2,31.3,11190647.0,0.0,1.0,30.52206133828519,30.599479375921934,30.19303467832904,30.289807225374968,11190647.0
2016-08-02,31.03,31.08,29.82,29.93,24346905.0,0.0,1.0,30.028521348350967,30.07690762187393,28.85757352909526,28.964023330845777,24346905.0
2016-08-03,30.0,30.25,29.91,30.24,14503963.0,0.0,1.0,29.031764113777925,29.273695481392743,28.94466882143659,29.264018226688147,14503963.0
2016-08-04,30.24,30.53,30.23,30.34,8660875.0,0.0,1.0,29.264018226688147,29.544658613121335,29.254340971983556,29.360790773734074,8660875.0
2016-08-05,30.51,30.89,30.5,30.8,13135880.0,0.0,1.0,29.525304103712152,29.89303978248667,29.515626849007557,29.805944490145336,13135880.0
2016-08-08,30.92,31.06,30.8,30.88,10470883.0,0.0,1.0,29.92207154660045,30.057553112464742,29.805944490145336,29.883362527782076,10470883.0
2016-08-09,30.91,31.25,30.83,31.07,13691127.0,0.0,1.0,29.912394291895854,30.241420951852007,29.83497625425911,30.067230367169337,13691127.0
2016-08-10,31.03,31.27,30.96,31.25,10833721.0,0.0,1.0,30.028521348350967,30.26077546126119,29.96078056541882,30.241420951852007,10833721.0
2016-08-11,31.43,31.79,31.36,31.75,13210802.0,0.0,1.0,30.415611536534673,30.763992705900005,30.347870753602525,30.725283687081635,13210802.0
2016-08-12,31.6,31.75,31.5499,31.57,9840876.0,0.0,1.0,30.580124866512747,30.725283687081635,30.53164182044274,30.55109310239897,9840876.0
2016-08-15,31.59,31.89,31.55,31.86,9345275.0,0.0,1.0,30.570447611808156,30.860765252945935,30.531738592989786,30.831733488832157,9345275.0
2016-08-16,31.81,31.85,31.61,31.71,9888486.0,0.0,1.0,30.783347215309192,30.822056234127565,30.58980212121734,30.68657466826327,9888486.0
2016-08-17,31.71,31.88,31.55,31.85,8392391.0,0.0,1.0,30.68657466826327,30.85108799824134,30.531738592989786,30.822056234127565,8392391.0
2016-08-18,31.8,31.86,31.48,31.55,14089870.0,0.0,1.0,30.7736699606046,30.831733488832157,30.463997810057638,30.531738592989786,14089870.0
2016-08-19,31.48,31.89,31.4,31.83,8809347.0,0.0,1.0,30.463997810057638,30.860765252945935,30.386579772420895,30.802701724718375,8809347.0
2016-08-22,31.79,31.95,31.7,31.87,8306765.0,0.0,1.0,30.763992705900005,30.918828781173488,30.676897413558674,30.84141074353675,8306765.0
2016-08-23,31.97,32.05,31.87,31.9,10960584.0,0.0,1.0,30.938183290582675,31.015601328219415,30.84141074353675,30.870442507650527,10960584.0
2016-08-24,31.84,32.09,31.76,31.78,8179481.0,0.0,1.0,30.81237897942297,31.05431034703779,30.73496094178623,30.754315451195417,8179481.0
2016-08-25,31.71,31.75,31.355,31.54,15925247.0,0.0,1.0,30.68657466826327,30.725283687081635,30.34303212625023,30.52206133828519,15925247.0
2016-08-26,31.67,31.8235,31.42,31.53,10436238.0,0.0,1.0,30.6478656494449,30.796411509160393,30.40593428183008,30.5123840835806,10436238.0
2016-08-29,31.78,31.96,31.57,31.81,7708220.0,0.0,1.0,30.754315451195417,30.928506035878083,30.55109310239897,30.783347215309192,7708220.0
2016-08-30,31.67,32.0,31.23,31.67,10748241.0,0.0,1.0,30.6478656494449,30.967215054696453,30.22206644244282,30.6478656494449,10748241.0
2016-08-31,31.67,31.94,31.65,31.92,9625559.0,0.0,1.0,30.6478656494449,30.9091515264689,30.62851114003571,30.889797017059713,9625559.0
2016-09-01,31.86,32.55,31.34,31.8,14898781.0,0.0,1.0,30.831733488832157,31.499464063449047,30.328516244193338,30.7736699606046,14898781.0
2016-09-02,31.88,32.2,31.85,32.16,10822877.0,0.0,1.0,30.85108799824134,31.16076014878831,30.822056234127565,31.122051129969933,10822877.0
2016-09-06,32.25,32.34,31.85,32.12,16766012.0,0.0,1.0,31.20914642231127,31.296241714652606,30.822056234127565,31.083342111151563,16766012.0
2016-09-07,31.99,31.99,31.62,31.89,12554723.0,0.38,1.0,31.32642661667411,31.32642661667411,30.964101582345588,31.228500931720458,12554723.0
2016-09-08,31.85,32.0,31.68,31.71,11808229.0,0.0,1.0,31.189330657738996,31.336219185169476,31.02285699331778,31.05223469880388,11808229.0
2016-09-09,31.44,31.5575,30.37,30.48,22476319.0,0.0,1.0,30.787835349429013,30.902898029249556,29.740030520424906,29.847748773873928,22476319.0
2016-09-12,30.36,31.35,30.13,31.18,17250264.0,0.0,1.0,29.73023795192954,30.699702232970722,29.505008876536134,30.533228568549507,17250264.0
2016-09-13,31.02,31.15,30.82,30.94,16162854.0,0.0,1.0,30.37654747262366,30.50385086306341,30.18069610271635,30.29820692466074,16162854.0
